"Name","DisplayName","Status","StartType"
"AarSvc_10f16b","Agent Activation Runtime_10f16b","Stopped","Manual"
"ADPSvc","ADPSvc","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AppIDSvc","Application Identity","Running","Manual"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_10f16b","GameDVR and Broadcast User Service_10f16b","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Running","Automatic"
"BluetoothUserService_10f16b","Bluetooth User Support Service_10f16b","Running","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual"
"BthAvctpSvc","AVCTP service","Running","Manual"
"bthserv","Bluetooth Support Service","Running","Manual"
"camsvc","Capability Access Manager Service","Running","Automatic"
"CaptureService_10f16b","CaptureService_10f16b","Stopped","Manual"
"cbdhsvc_10f16b","Clipboard User Service_10f16b","Running","Automatic"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_10f16b","Connected Devices Platform User Service_10f16b","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual"
"CloudBackupRestoreSvc_10f16b","Cloud Backup and Restore Service_10f16b","Running","Manual"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_10f16b","ConsentUX User Service_10f16b","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_10f16b","CredentialEnrollmentManagerUserSvc_10f16b","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"CscService","Offline Files","Stopped","Manual"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimize drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_10f16b","DeviceAssociationBroker_10f16b","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Running","Automatic"
"DeviceInstall","Device Install Service","Stopped","Manual"
"DevicePickerUserSvc_10f16b","DevicePicker_10f16b","Stopped","Manual"
