
FullName                                                                                                                                                                               LastWriteTime             Length
--------                                                                                                                                                                               -------------             ------
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\02_RAW_LOGS\running_services.txt                                                                          1/28/2026 12:45:46 AM      15489
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\02_RAW_LOGS\processes_detailed.txt                                                                        1/28/2026 12:45:46 AM      63725
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\02_RAW_LOGS\running_processes.txt                                                                         1/28/2026 12:45:46 AM      82035
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\01_TECHNICAL_PROOFS\PROOF_02_EVENT_LOGS_TECHNICAL.txt                                                     1/28/2026 12:45:45 AM       1765
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\04_SUMMARY_REPORTS\PROOF_02_EVENT_LOGS_EXPLAINED.txt                                                      1/28/2026 12:45:45 AM       2694
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\01_TECHNICAL_PROOFS\SECURITY_LOG_BLOCKED.txt                                                              1/28/2026 12:45:45 AM        559
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\02_RAW_LOGS\system_log_errors_72h.txt                                                                     1/28/2026 12:45:45 AM      56239
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\02_RAW_LOGS\system_log_72h.txt                                                                            1/28/2026 12:45:45 AM     513211
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\02_RAW_LOGS\application_log_errors_72h.txt                                                                1/28/2026 12:45:44 AM      25936
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\02_RAW_LOGS\application_log_72h.txt                                                                       1/28/2026 12:45:44 AM     877440
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\04_SUMMARY_REPORTS\PROOF_01_ACCESS_CONTROL_EXPLAINED.txt                                                  1/28/2026 12:45:43 AM       2067
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_20260128_004543\01_TECHNICAL_PROOFS\PROOF_01_ACCESS_CONTROL_TECHNICAL.txt                                                 1/28/2026 12:45:43 AM       1513
C:\Users\zoole\.gemini\antigravity\conversations\3d24b427-c3da-4e3f-afae-58b2f7a96fee.pb                                                                                               1/28/2026 12:45:39 AM     658885
C:\Users\zoole\.gemini\antigravity\scratch\forensic_evidence_collector.ps1                                                                                                             1/28/2026 12:45:33 AM      61676
C:\Users\zoole\.aws\amazonq\lspLog.log                                                                                                                                                 1/28/2026 12:45:14 AM     128575
C:\Users\zoole\.aws\amazonq\mcpAdmin\mcp-state.json                                                                                                                                    1/28/2026 12:45:11 AM         16
C:\Users\zoole\.aws\amazonq\agents\default.json                                                                                                                                        1/28/2026 12:45:05 AM       1030
C:\Users\zoole\.aws\amazonq\history\chat-history-no-workspace.json                                                                                                                     1/28/2026 12:44:53 AM     434131
C:\Users\zoole\.aws\sso\cache\175c6c418b7da0b7531def0b4278ffcad55fc7f8.json                                                                                                            1/28/2026 12:39:02 AM       5955
